NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1250-0387066,299.6991772,35.0792011,YM,C,0.0,5.4,-3.6,5.4,14.740,Y,14.560,Y,13.980,B,13.272,12.999,12.895,
1251-0390328,299.7203750,35.1024278,YM,Y,13.5,9.0,-25.8,9.0,,,15.870,Y,,,14.494,14.041,13.971,
1251-0390368,299.7285528,35.1082600,YM,C,-4.9,5.4,-19.4,5.4,14.400,Y,14.210,Y,13.880,B,12.728,12.368,12.223,
1250-0386902,299.6685750,35.0897083,YM,B,0.0,0.0,0.0,0.0,18.030,B,17.170,Y,16.550,B,15.273,14.773,14.647,
1250-0386955,299.6783444,35.0961528,YM,B,0.0,0.0,0.0,0.0,17.880,Y,16.800,Y,16.200,B,14.898,14.413,14.269,
1250-0386967,299.6809444,35.0944778,YM,B,0.0,0.0,0.0,0.0,18.050,Y,16.970,Y,16.160,B,14.798,14.398,14.053,
1250-0386972,299.6816972,35.0826083,YM,B,0.0,0.0,0.0,0.0,,,16.510,Y,17.840,B,16.228,15.682,15.153,
1250-0387002,299.6864778,35.0846556,YM,B,0.0,0.0,0.0,0.0,18.970,B,17.920,Y,17.220,B,15.794,15.183,15.276,
1250-0387015,299.6888083,35.0854833,YM,B,6.0,5.0,-10.0,2.0,17.820,Y,17.070,Y,16.220,B,14.685,14.230,14.012,
1250-0387021,299.6901472,35.0923028,YM,B,0.0,0.0,0.0,0.0,18.390,B,17.550,Y,16.600,B,14.772,14.324,14.067,
1250-0387026,299.6909361,35.0898611,YM,B,0.0,4.0,10.0,0.0,17.200,Y,17.030,Y,15.920,B,15.102,14.669,14.478,
1250-0387028,299.6918472,35.0838333,YM,B,0.0,0.0,0.0,0.0,18.000,Y,17.780,Y,16.060,B,14.397,13.611,13.256,
1250-0387032,299.6926917,35.0821556,YM,B,0.0,0.0,0.0,0.0,17.660,Y,17.020,Y,16.300,B,15.108,14.592,14.369,
1251-0390113,299.6806672,35.1082311,YM,C,6.9,5.4,3.4,5.4,14.860,Y,14.480,Y,14.460,B,13.086,12.620,12.482,
1251-0390192,299.6941778,35.1023472,YM,B,0.0,0.0,0.0,0.0,18.670,B,17.970,Y,16.620,B,14.849,14.352,13.981,
1250-0387085,299.7017114,35.0985819,YM,C,-7.3,5.4,2.0,5.4,13.550,Y,13.300,Y,12.970,B,11.886,11.566,11.469,
1250-0387102,299.7061792,35.0935281,YM,C,3.3,5.7,-12.8,5.8,15.190,Y,15.100,Y,14.530,B,13.245,12.888,12.740,
1250-0387125,299.7117694,35.0999833,YM,B,0.0,0.0,0.0,0.0,15.030,B,17.740,Y,16.380,B,15.821,15.172,14.973,
1251-0390200,299.6955167,35.1085528,YM,B,0.0,0.0,0.0,0.0,19.430,B,17.730,Y,16.330,B,14.092,13.147,12.823,
1251-0390211,299.6974889,35.1074806,YM,Y,-43.9,9.0,72.1,9.0,,,17.970,Y,,,16.533,15.339,14.946,
1251-0390234,299.7020094,35.1064467,YM,C,3.1,5.4,21.3,5.4,14.180,Y,13.940,Y,13.860,B,12.916,12.631,12.522,
1251-0390260,299.7071111,35.1032972,YM,B,0.0,0.0,0.0,0.0,17.450,B,16.980,Y,15.310,e,15.218,14.505,14.369,
1251-0390270,299.7078278,35.1104750,YM,B,0.0,0.0,0.0,0.0,18.060,B,17.830,Y,16.750,B,15.554,15.060,15.147,
